system:index,Aspect,Curvature,Elevation,Extent,Geology,Name,Slope,b1,descriptio,layer,.geo
00000000000000000000_0,122.18128798,-3.0766613556E7,1268.5740831,Gangtok basin,LHS Daling,Debris flow,39.287769741,1445.4249914999527,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55142913208184,27.286326755130464]}"
00000000000000000001_0,229.92302619,-7.1851756889E7,1967.7129313,Gangtok basin,LHS Daling,Debris flow,30.884160572,1499.6463614189743,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.241410990924486]}"
00000000000000000002_0,161.29719374,3.5550114222E7,2048.8919406,Gangtok basin,LHS Daling,Debris flow,29.478448656,1304.7758108293638,Image 3/12/2012,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.286326755130464]}"
00000000000000000003_0,330.40676202,1.55506752E8,960.74382867,Gangtok basin,LHS Daling,Debris flow,44.812948015,1553.8323989051532,2017,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.5963448962878,27.241410990924486]}"
00000000000000000005_0,169.09820048,6.9309522667E7,1768.0617405,Gangtok basin,MCT zone,Debris flow,45.85354699,1156.0371106496023,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.376158283542416]}"
00000000000000000006_0,171.08817546,-7.0626457722E7,2040.2376573,Gangtok basin,MCT zone,Debris flow,43.408995734,1156.0371106496023,2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.376158283542416]}"
00000000000000000007_0,176.82611254,1.2102881733E8,1956.9753011,Gangtok basin,MCT zone,Debris flow,43.613314311,1030.1944350286503,2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.376158283542416]}"
00000000000000000008_0,144.40456814,-1.0870172421999998E8,1615.1358236,Gangtok basin,MCT zone,Debris flow,46.212288751,1267.5643579715397,2012,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.33124251933644]}"
00000000000000000009_0,261.59880405,-1.8752487111E7,2585.0616591,Gangtok basin,GHS paro,Debris flow,33.49731085,1304.7758108293638,2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.286326755130464]}"
0000000000000000000a_0,215.55509271,1.9569069422E8,3324.0123155,Gangtok basin,GHS paro,Debris flow,25.217291832,1030.1944350286503,Active,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.376158283542416]}"
0000000000000000000b_0,181.30348036,1.5167324822E8,913.63579644,Gangtok basin,Lingtse,Debris flow,43.266841888,1445.4249914999527,Image 9/27/2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55142913208184,27.286326755130464]}"
0000000000000000000c_0,180.83039008,-3.9642329583E7,969.87653944,Gangtok basin,Lingtse,Debris flow,42.543979221,1445.4249914999527,Image 10/27/2009,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55142913208184,27.286326755130464]}"
0000000000000000000d_0,151.01867676,-2.2871114625E7,1619.6388889,Gangtok basin,Lingtse,Debris flow,41.04445733,1445.4249914999527,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55142913208184,27.286326755130464]}"
0000000000000000000e_0,98.072926839,4.1548876778E7,1958.2592638,East Sikkim,LHS Daling,Debris flow,31.961149851,1464.642113345937,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.241410990924486]}"
0000000000000000000f_0,341.55588108,8.0084028528E7,1080.8549262,East Sikkim,LHS Daling,Debris flow,40.383285522,1633.1576450520479,2006,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.19649522671851]}"
00000000000000000010_0,128.7672916,-1.5722593778E8,2211.9814996,East Sikkim,GHS paro,Debris flow,49.43006897,1221.3422770208854,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
00000000000000000011_0,271.40871006,-2.1507798044E8,1854.3055284,East Sikkim,GHS paro,Debris flow,35.547865126,1396.093931099731,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.241410990924486]}"
00000000000000000012_0,141.08329264,6.5133694889E7,4147.0401476,East Sikkim,GHS paro,Debris flow,39.836405648,1024.3229009045754,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.33124251933644]}"
00000000000000000013_0,118.03019206,8586954.6667,4148.4135742,East Sikkim,GHS paro,Debris flow,43.014732785,1024.3229009045754,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.33124251933644]}"
00000000000000000014_0,141.54912313,1.7792987733E8,4160.1450738,East Sikkim,GHS paro,Debris flow,37.029640834,1024.3229009045754,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.33124251933644]}"
00000000000000000015_0,139.761478,1.0022677094E8,3351.9228516,East Sikkim,GHS paro,Debris flow,40.348316616,1111.18768097664,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.286326755130464]}"
00000000000000000016_0,20.615549511,1.2729813122E8,3838.3796658,East Sikkim,GHS paro,Debris flow,44.361897363,783.4101187846318,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.42107404774839]}"
00000000000000000017_0,268.60417345,9.8154514833E7,3852.1173231,East Sikkim,GHS paro,Debris flow,38.599991904,823.2533040361304,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.42107404774839]}"
00000000000000000018_0,227.49454414,1.7417922333E7,3372.5308431,East Sikkim,GHS paro,Debris flow,42.14139684,1337.011633966118,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}"
00000000000000000019_0,238.35524326,1.2561738356E8,4469.6142578,East Sikkim,GHS paro,Debris flow,20.48010095,860.7224581009941,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.376158283542416]}"
0000000000000000001a_0,331.9520874,8.9263062111E7,3649.6388889,East Sikkim,GHS paro,Debris flow,29.275976605,915.3236875679577,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.376158283542416]}"
0000000000000000001b_0,258.59152561,1.2330141422E8,4480.4351671,East Sikkim,GHS paro,Debris flow,24.679123561,751.099372977158,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.42107404774839]}"
0000000000000000001c_0,274.55593194,-2932227.0833,4358.8179253,East Sikkim,GHS paro,Debris flow,39.744684855,860.7224581009941,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.376158283542416]}"
0000000000000000001d_0,289.99445936,3.8693372139E7,4400.3549262,East Sikkim,GHS paro,Debris flow,40.430790795,860.7224581009941,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.376158283542416]}"
0000000000000000001e_0,327.08626302,2.1686023778E7,3851.6296115,East Sikkim,GHS paro,Debris flow,42.119812859,823.2533040361304,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.42107404774839]}"
0000000000000000001f_0,137.78555128,-5.5255809938E7,2089.3857829,East Sikkim,GHS paro,Debris flow,52.807376862,1221.3422770208854,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.286326755130464]}"
00000000000000000020_0,164.41541714,-1.5657256633E8,3072.0833605,East Sikkim,GHS paro,Debris flow,41.448216756,1111.18768097664,Image 10/5/2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.86583948152366,27.286326755130464]}"
00000000000000000021_0,174.46335178,3.5840264889E7,3568.2623427,East Sikkim,GHS paro,Debris flow,29.364418877,1281.4179389636265,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.286326755130464]}"
00000000000000000022_0,198.73136902,1.1056617489E8,3599.7499729,East Sikkim,GHS paro,Debris flow,31.115251541,1281.4179389636265,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.286326755130464]}"
00000000000000000023_0,145.2409668,1.2086171156E8,4038.4721951,East Sikkim,GHS paro,Debris flow,46.590858883,860.7224581009941,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82092371731768,27.376158283542416]}"
