system:index,elevation,landslide,latitude,longitude,rainfall,slope,soil_moisture,.geo
1_00000000000000000000_0,1220,1,27.24307205347054,88.52875741653901,4778.453852299115,3.5669231,0.38763480054618027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001_0,1329,1,27.24307205347054,88.62757209779215,5060.431252482793,2.4543865,0.39256343736565547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002_0,1490,1,27.341886734723694,88.62757209779215,6643.860097292325,2.9756112,0.4080427571274068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0,1329,1,27.24307205347054,88.62757209779215,5060.431252482793,2.4543865,0.39256343736565547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005_0,1490,1,27.341886734723694,88.62757209779215,6643.860097292325,2.9756112,0.4080427571274068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006_0,1490,1,27.341886734723694,88.62757209779215,6643.860097292325,2.9756112,0.4080427571274068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007_0,1490,1,27.341886734723694,88.62757209779215,6643.860097292325,2.9756112,0.4080427571274068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008_0,1490,1,27.341886734723694,88.62757209779215,6643.860097292325,2.9756112,0.4080427571274068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b_0,1220,1,27.24307205347054,88.52875741653901,4778.453852299115,3.5669231,0.38763480054618027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c_0,1220,1,27.24307205347054,88.52875741653901,4778.453852299115,3.5669231,0.38763480054618027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0,1220,1,27.24307205347054,88.52875741653901,4778.453852299115,3.5669231,0.38763480054618027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000e_0,1571,1,27.24307205347054,88.7263867790453,5162.698353889844,5.479581,0.3862113970663588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f_0,1590,1,27.144257372217396,88.62757209779215,3700.7231221231436,3.3465083,0.3639241182228306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000010_0,1571,1,27.24307205347054,88.7263867790453,5162.698353889844,5.479581,0.3862113970663588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000011_0,1571,1,27.24307205347054,88.7263867790453,5162.698353889844,5.479581,0.3862113970663588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000012_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000013_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000014_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000015_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000016_0,3107,1,27.44070141597684,88.7263867790453,5455.583910706899,7.1745467,0.4011615965182839,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_0,3107,1,27.44070141597684,88.7263867790453,5455.583910706899,7.1745467,0.4011615965182839,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000018_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000019_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001a_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001b_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001c_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001d_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001e_0,3107,1,27.44070141597684,88.7263867790453,5455.583910706899,7.1745467,0.4011615965182839,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001f_0,1571,1,27.24307205347054,88.7263867790453,5162.698353889844,5.479581,0.3862113970663588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000020_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000021_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000022_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000023_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000024_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000025_0,4132,1,27.341886734723694,88.92401614155165,3974.7544333967185,3.0674424,0.36703916884746374,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000027_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000028_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000029_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002a_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002b_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002c_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002e_0,3107,1,27.44070141597684,88.7263867790453,5455.583910706899,7.1745467,0.4011615965182839,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000030_0,1571,1,27.24307205347054,88.7263867790453,5162.698353889844,5.479581,0.3862113970663588,"{""type"":""MultiPoint"",""coordinates"":[]}"
