system:index,elevation,landslide,latitude,longitude,rainfall,slope,soil_moisture,.geo
1_00000000000000000000_0,1220,1,27.24998908115826,88.55108953450224,5060.431252482793,3.5669231,0.39256343736565547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55108953450224,27.24998908115826]}"
1_00000000000000000001_0,1329,1,27.24998908115826,88.65108999193046,5162.698353889844,2.4543865,0.3862113970663588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.24998908115826]}"
1_00000000000000000002_0,1490,1,27.34998953858645,88.65108999193046,5563.639055255315,2.9756112,0.398245123369048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.34998953858645]}"
1_00000000000000000003_0,1220,1,27.24998908115826,88.55108953450224,5060.431252482793,3.5669231,0.39256343736565547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55108953450224,27.24998908115826]}"
1_00000000000000000005_0,1490,1,27.34998953858645,88.65108999193046,5563.639055255315,2.9756112,0.398245123369048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.34998953858645]}"
1_00000000000000000006_0,1490,1,27.34998953858645,88.65108999193046,5563.639055255315,2.9756112,0.398245123369048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.34998953858645]}"
1_00000000000000000007_0,1490,1,27.34998953858645,88.65108999193046,5563.639055255315,2.9756112,0.398245123369048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.34998953858645]}"
1_00000000000000000008_0,1490,1,27.34998953858645,88.65108999193046,5563.639055255315,2.9756112,0.398245123369048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.34998953858645]}"
1_00000000000000000009_0,1329,1,27.24998908115826,88.65108999193046,5162.698353889844,2.4543865,0.3862113970663588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.24998908115826]}"
1_0000000000000000000a_0,1490,1,27.34998953858645,88.65108999193046,5563.639055255315,2.9756112,0.398245123369048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.34998953858645]}"
1_0000000000000000000b_0,1220,1,27.24998908115826,88.55108953450224,5060.431252482793,3.5669231,0.39256343736565547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55108953450224,27.24998908115826]}"
1_0000000000000000000c_0,1220,1,27.24998908115826,88.55108953450224,5060.431252482793,3.5669231,0.39256343736565547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55108953450224,27.24998908115826]}"
1_0000000000000000000d_0,1220,1,27.24998908115826,88.55108953450224,5060.431252482793,3.5669231,0.39256343736565547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55108953450224,27.24998908115826]}"
1_0000000000000000000e_0,1329,1,27.24998908115826,88.65108999193046,5162.698353889844,2.4543865,0.3862113970663588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.24998908115826]}"
1_0000000000000000000f_0,939,1,27.149988623730074,88.65108999193046,4012.4729529651618,2.6108673,0.34154285341221474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.149988623730074]}"
1_00000000000000000010_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_00000000000000000011_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_00000000000000000012_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_00000000000000000013_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_00000000000000000014_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_00000000000000000015_0,2707,1,27.24998908115826,88.8510909067868,4184.018249872586,8.51478,0.37248612598543546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.24998908115826]}"
1_00000000000000000016_0,4332,1,27.44998999601463,88.75109044935863,4226.458515289685,5.2738047,0.37239557931723904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.44998999601463]}"
1_00000000000000000017_0,4332,1,27.44998999601463,88.75109044935863,4226.458515289685,5.2738047,0.37239557931723904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.44998999601463]}"
1_00000000000000000018_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_00000000000000000019_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_0000000000000000001a_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_0000000000000000001b_0,4340,1,27.44998999601463,88.8510909067868,3868.1397841009116,3.7322001,0.3838128119529077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.44998999601463]}"
1_0000000000000000001c_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_0000000000000000001d_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_0000000000000000001e_0,4332,1,27.44998999601463,88.75109044935863,4226.458515289685,5.2738047,0.37239557931723904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.44998999601463]}"
1_0000000000000000001f_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_00000000000000000020_0,2707,1,27.24998908115826,88.8510909067868,4184.018249872586,8.51478,0.37248612598543546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.24998908115826]}"
1_00000000000000000021_0,2707,1,27.24998908115826,88.8510909067868,4184.018249872586,8.51478,0.37248612598543546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.24998908115826]}"
1_00000000000000000022_0,2707,1,27.24998908115826,88.8510909067868,4184.018249872586,8.51478,0.37248612598543546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.24998908115826]}"
1_00000000000000000023_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_00000000000000000024_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_00000000000000000025_0,3902,1,27.34998953858645,88.8510909067868,3974.7544333967185,6.5947537,0.36703916884746374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.34998953858645]}"
1_00000000000000000027_0,2707,1,27.24998908115826,88.8510909067868,4184.018249872586,8.51478,0.37248612598543546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.24998908115826]}"
1_00000000000000000028_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_00000000000000000029_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_0000000000000000002a_0,2707,1,27.24998908115826,88.8510909067868,4184.018249872586,8.51478,0.37248612598543546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.24998908115826]}"
